ATA,Deviation,F,F1,FPS,Ms,OTA,OTP,PBM,admm_iterations,background_ratio,cheb_attenuation,filter_lr,fn,fp,g,gsl_sigma,histogram_bins,histogram_lr,hog_clip,hog_orientations,kaiser_alpha,my_object,num_hog_channels_used,number_of_scales,padding,psr_threshold,scale_lr,scale_model_max_area,scale_sigma_factor,scale_step,template_size,tp,tracker,use_channel_weights,use_color_names,use_gray,use_hog,use_rgb,use_segmentation,video,weights_lr,window_function
0.6321007054979271,0.6903687416946591,1.0,0.7674322148744696,10.574015985257631,59.0,1.0,0.4663924274701507,0.9078537663995175,4.0,2.0,45.0,0.02,0.0,0.0,449.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,392.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,afU2vHgUvaw_3,0.02,hann
0.45602075802116954,0.5832824033592275,1.0,0.6127653785889706,10.59880156051862,173.0,1.0,0.38141047303087827,0.8618155297577756,4.0,2.0,45.0,0.02,0.0,0.0,232.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,61.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,hBHt6mnfUeo_0,0.02,hann
0.44383039685978676,0.8750627826344807,1.0,0.6031617507707615,11.24453399667009,330.0,1.0,0.3594094710585947,0.8960819447988803,4.0,2.0,45.0,0.02,0.0,0.0,539.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,211.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,h-pm7wD31Ss_3,0.02,hann
0.7744857782559932,1.0,1.0,0.8698319372561828,13.221943659933142,1.0,1.0,0.0,0.9665743671510931,4.0,2.0,45.0,0.02,0.0,0.0,399.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,400.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,CWCfCeYh2bA_1,0.02,hann
0.691470310317359,1.0,1.0,0.8146192663531565,12.336657900911261,1.0,1.0,0.0,0.9404670744940673,4.0,2.0,45.0,0.02,0.0,0.0,399.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,400.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,TalhQQ9B7vc_0,0.02,hann
0.402078884050801,0.6576622421462783,1.0,0.5495615346698963,11.769641534253733,213.0,1.0,0.3204093224983663,0.9195437309525223,4.0,2.0,45.0,0.02,0.0,0.0,269.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,58.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,cH9u1pCWp2U_0,0.02,hann
0.5512866545231072,0.9321511337417598,1.0,0.69239702162756,12.160053640696255,144.0,1.0,0.3343659496151319,0.9686038991605567,4.0,2.0,45.0,0.02,0.0,0.0,374.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,232.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,afU2vHgUvaw_7,0.02,hann
0.18493000458122572,0.8353291808479789,0.35,0.2283343122301779,17.611390060063524,43.0,0.34728033472803344,0.2752519484030971,0.3361549879075192,4.0,2.0,45.0,0.02,0.0,156.0,239.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,42.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,aCNvyXSuG6w_0,0.02,hann
0.2246090254601025,0.6735376885124827,0.3434343434343434,0.33190916592613495,12.441839264439,174.0,0.7440944881889764,0.2555472227486423,0.6429857643163494,4.0,2.0,45.0,0.02,0.0,65.0,254.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,17.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,gOWc7VBEwMo_0,0.02,hann
0.03371488216057959,0.29147222512802684,0.04242424242424243,0.05158057293610564,17.90537583950546,206.0,0.2946428571428571,0.04786167707948816,0.40287060142025444,4.0,2.0,45.0,0.02,79.0,237.0,448.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,7.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,EmvEUer4CVc_0,0.02,hann
0.25781492119371663,0.4931530477679602,0.9775280898876404,0.3690569348552984,10.975190662341433,450.0,0.9925788497217068,0.1726559572600561,0.5654444556590964,4.0,2.0,45.0,0.02,0.0,4.0,539.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,87.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,h-pm7wD31Ss_0,0.02,hann
0.8204753345126375,1.0,1.0,0.8997492709900007,10.895327642116621,1.0,1.0,0.0,0.9744684590581751,4.0,2.0,45.0,0.02,0.0,0.0,194.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,195.0,CSRT,1.0,1.0,1.0,1.0,0.0,1.0,EwlCKB77dYo_2,0.02,hann
0.02041179061895661,0.5628306572002924,0.011019283746556474,0.02971269216726864,300.30429240451815,27.0,-0.7177033492822966,0.100706470961818,0.07760736052758054,4.0,2.0,45.0,0.02,177.0,182.0,209.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,2.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,GceLsS4AwH8_1,0.02,hann
0.1938457105414411,0.3769704271435177,0.35714285714285715,0.30512875659514105,20.017799307887106,439.0,0.9248434237995825,0.19675964057464337,0.7322098382490754,4.0,2.0,45.0,0.02,4.0,32.0,479.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,10.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,j93wwDC_a2I_0,0.02,hann
0.4886621453094135,0.6208227352314855,1.0,0.6321776200521928,16.225455188721387,152.0,1.0,0.3387599175759157,0.9176890568862057,4.0,2.0,45.0,0.02,0.0,0.0,263.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,113.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,BpXhq5Awd3U_0,0.02,hann
0.6444749699911796,0.7778936680157053,1.0,0.7792604896215373,13.159778981660017,10.0,1.0,0.4364659723408356,0.9287891395110596,4.0,2.0,45.0,0.02,0.0,0.0,269.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,261.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,EwlCKB77dYo_3,0.02,hann
0.5374086705786123,0.5435837025088411,0.9752650176678445,0.6817174781859061,17.45217053617121,83.0,0.9690265486725663,0.42280863202920205,0.9220495020124113,4.0,2.0,45.0,0.02,0.0,7.0,226.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,138.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,JR0QfXOOmaA_0,0.02,hann
0.33842577029181875,-0.2044093753930396,0.6846473029045643,0.3923783963581128,17.254092123627764,134.0,0.6614699331848553,0.13471076922416567,0.5773341847476552,4.0,2.0,45.0,0.02,0.0,152.0,449.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,165.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,n0tx4V2rF3I_1,0.02,hann
0.5524583520534053,0.8689698477045478,1.0,0.7040423784841529,20.8189518276321,79.0,1.0,0.44439209391243817,0.9844460910058483,4.0,2.0,45.0,0.02,0.0,0.0,194.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,117.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,EwlCKB77dYo_4,0.02,hann
0.11961641485892419,0.08256539882492198,0.8571428571428571,0.20707886496287828,26.72824474200548,383.0,0.9948586118251928,0.11151817383328066,0.8371946130746777,4.0,2.0,45.0,0.02,0.0,2.0,389.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,6.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,ZlEiOICCDdc_0,0.02,hann
0.35111102396681965,0.3713823835630443,1.0,0.4727516304655685,15.053182971014161,408.0,1.0,0.24308176709261625,0.8170432332548455,4.0,2.0,45.0,0.02,0.0,0.0,509.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,103.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,f8rXEKktSCg_0,0.02,hann
0.7664285424199548,0.6110950678029343,1.0,0.8510109339773204,20.077340243486052,33.0,1.0,0.23590662950917493,0.9643710131297218,4.0,2.0,45.0,0.02,0.0,0.0,324.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,293.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,afU2vHgUvaw_2,0.02,hann
0.6790852342504796,0.8371169054501324,1.0,0.8011834723526939,17.29840454009251,40.0,1.0,0.4686584353528186,0.9824247606590442,4.0,2.0,45.0,0.02,0.0,0.0,407.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,369.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,ckFwzL1Ot94_0,0.02,hann
0.608982243175508,0.6291025778677087,1.0,0.7410539489486176,16.59642415893339,84.0,1.0,0.38674251236105206,0.9159724514692572,4.0,2.0,45.0,0.02,0.0,0.0,239.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,157.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,C3lwMd_rlG0_0,0.02,hann
0.6214127065068689,0.6643402650754833,1.0,0.7577276037692006,16.102823146968813,75.0,1.0,0.4459689438696784,0.9091276868520646,4.0,2.0,45.0,0.02,0.0,0.0,449.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,376.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,afU2vHgUvaw_3,0.02,hann
0.45634783618392344,0.5855630785386283,1.0,0.6132862372231738,14.50194515737717,171.0,1.0,0.3822771064295117,0.8622043982208792,4.0,2.0,45.0,0.02,0.0,0.0,232.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,63.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,hBHt6mnfUeo_0,0.02,hann
0.48467887414136274,0.7229751492561377,1.0,0.6291516791526679,17.26289111467602,265.0,1.0,0.30133763866361646,0.9088315928537753,4.0,2.0,45.0,0.02,0.0,0.0,539.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,276.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,h-pm7wD31Ss_3,0.02,hann
0.7694669808628666,1.0,1.0,0.8668881889774227,22.220632204459026,1.0,1.0,0.0,0.9678508921574668,4.0,2.0,45.0,0.02,0.0,0.0,399.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,400.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,CWCfCeYh2bA_1,0.02,hann
0.6797509982621698,1.0,1.0,0.8067377993358368,20.665034307646316,1.0,1.0,0.0,0.9446536530584854,4.0,2.0,45.0,0.02,0.0,0.0,399.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,400.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,TalhQQ9B7vc_0,0.02,hann
0.5035071575549009,0.6238075925500097,1.0,0.6572530201685798,16.992748265847663,158.0,1.0,0.40557654463276926,0.9325133935419307,4.0,2.0,45.0,0.02,0.0,0.0,269.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,113.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,cH9u1pCWp2U_0,0.02,hann
0.7606904675021797,1.0,1.0,0.8623117469200676,18.726348283534072,1.0,1.0,0.0,0.9668571128044473,4.0,2.0,45.0,0.02,0.0,0.0,374.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,375.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,afU2vHgUvaw_7,0.02,hann
