my_object,video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [0, 0], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [1, 1], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [2, 2], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
,TalhQQ9B7vc_0,0.6519227137689398,1.0,0.7832991185661601,0.474752545369092,1.0,0.7252458263797174,0.9035217030751309,102.63795466996635,57.0,0.0,344.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[23, 23]","[30, 30]"
,TalhQQ9B7vc_0,0.6465191541006915,1.0,0.7790076028138836,0.4716477540227643,1.0,0.7095260879388227,0.8988657708703957,126.3873743440198,53.0,0.0,348.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[24, 24]","[30, 30]"
,TalhQQ9B7vc_0,0.6508487294187827,1.0,0.7822616700282586,0.469687165877016,1.0,0.7303927505681789,0.9055189916581486,112.98231710918735,56.0,0.0,345.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[25, 25]","[30, 30]"
,TalhQQ9B7vc_0,0.6398157577348184,1.0,0.7726373684042671,0.45899961220368435,1.0,0.6844737442879758,0.8940127741637116,101.17335639665843,94.0,0.0,307.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[26, 26]","[30, 30]"
,TalhQQ9B7vc_0,0.634357813684447,1.0,0.7674318723656394,0.43607388776772205,1.0,0.6544454577499521,0.8948765837337109,105.7892219951082,97.0,0.0,304.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[27, 27]","[30, 30]"
,TalhQQ9B7vc_0,0.6311187714300885,1.0,0.7644229945958546,0.42463833892922426,1.0,0.6857168946661687,0.896318540852834,112.935801467156,94.0,0.0,307.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[28, 28]","[30, 30]"
,TalhQQ9B7vc_0,0.6385801810836281,1.0,0.7708408161914423,0.4391145440054061,1.0,0.6737605577870173,0.8969902613701619,98.26769642147813,95.0,0.0,306.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[29, 29]","[30, 30]"
,TalhQQ9B7vc_0,0.6467396866583699,1.0,0.778011818535198,0.4571866781035427,1.0,0.6937815745740574,0.900478552912231,88.31931711409007,90.0,0.0,311.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[30, 30]","[30, 30]"
,TalhQQ9B7vc_0,0.6494393844224317,1.0,0.7807218273467119,0.4683044150643596,1.0,0.7191319976982811,0.904110750684921,79.2912192185936,77.0,0.0,324.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[31, 31]","[30, 30]"
,TalhQQ9B7vc_0,0.6473164000967598,1.0,0.7790841735856953,0.47248635442481196,1.0,0.695408216412569,0.8972214518807236,99.04229984212193,82.0,0.0,319.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[32, 32]","[30, 30]"
