video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
GceLsS4AwH8_1,0.010667182772612459,0.011111111111111112,0.015923414990554136,0.03351644276347613,0.14832535885167464,0.22238459832535584,0.07415445314443454,605.537000882871,37,173,1,5,209,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
j93wwDC_a2I_0,0.05825481770527039,0.07342657342657344,0.07813365606115015,0.20232659781719195,-0.10647181628392488,0.8069357326824532,0.15414558742480594,808.1301104435822,62,398,21,132,479,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
BpXhq5Awd3U_0,0.23191311049821775,0.7113402061855669,0.3137846615503241,0.1018332153809129,0.7870722433460076,-0.12960230122578054,0.6489542798381948,814.317169130117,167,29,69,27,263,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_3,0.7349578154491675,0.9925925925925926,0.8412262753523387,0.0,0.9851301115241635,1.0,0.9592014338347288,651.5984483059493,1,2,268,2,269,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
JR0QfXOOmaA_0,0.6379470618895224,0.9610389610389611,0.7508643568784635,0.4026655482754676,0.9469026548672567,0.5031497332691255,0.9141166727679398,647.3351348989761,72,8,148,4,226,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
n0tx4V2rF3I_1,0.08282456442661967,0.10246679316888047,0.10872437469025446,0.14152757741062225,-0.05345211581291753,0.16551151518131302,0.2617992294206332,988.7464322885197,118,306,27,167,449,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_4,0.6705458356383682,1.0,0.7960904315950955,0.4139674439738726,1.0,0.7062786040356993,0.940736541448313,667.3584298329771,13,0,183,0,194,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
ZlEiOICCDdc_0,0.05908588175415701,0.010033444816053512,0.0903260966253828,0.23429085885986195,-0.5218508997429305,0.5184051234824318,0.20174389349738117,1155.3297459249827,89,299,3,293,389,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
f8rXEKktSCg_0,0.06064607543901914,0.1452145214521452,0.0842796712485194,0.05570149292500694,0.4911591355599214,-1.0,0.3673707125446269,941.3948119087137,271,218,22,41,509,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_2,0.8119354569925279,1.0,0.8839226985446318,0.373900659934578,1.0,0.45908273547273415,0.9666716473147452,598.6376826500731,38,0,288,0,324,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
ckFwzL1Ot94_0,0.8279549172175421,1.0,0.9035939735696163,0.0,1.0,1.0,0.9795426866466386,729.1807980469641,1,0,408,0,407,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
C3lwMd_rlG0_0,0.5927351516655498,1.0,0.7135769981448358,0.3159804242097866,1.0,0.6611022520581855,0.9176771317759324,668.6986385224886,99,0,142,0,239,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_3,0.48704119170587784,1.0,0.635610827621933,0.36946999963623073,1.0,0.6006255822776385,0.8353435423069687,650.1768060932432,284,0,167,0,449,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
hBHt6mnfUeo_0,0.4518894304216985,1.0,0.6084073928539186,0.375770534895381,1.0,0.5532556683545498,0.8560241884017677,714.7122035448541,174,0,60,0,232,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
h-pm7wD31Ss_3,0.20324919999496563,0.43010752688172044,0.302850232293526,0.1929932858306775,0.8033395176252319,0.638123587750749,0.6680970446617557,652.9174492978327,448,53,40,53,539,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
CWCfCeYh2bA_1,0.7252573470735978,1.0,0.8367435341233039,0.0,1.0,1.0,0.98071473480069,599.6087274191627,1,0,400,0,399,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,558.9277583155225,82,0,319,0,399,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
cH9u1pCWp2U_0,0.3856986003238332,0.8181818181818182,0.5426566865850472,0.3574307715270308,0.9553903345724907,0.654483334514243,0.8744737720360541,720.6717309634707,238,6,27,6,269,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_7,0.6905350120882258,1.0,0.8076593908780417,0.44020171259608293,1.0,0.7016821480297228,0.9100000690169952,565.8895507790736,39,0,337,0,374,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
aCNvyXSuG6w_0,0.6209218641231673,0.9903846153846154,0.7571356590392266,0.44923221580496125,0.9832635983263598,0.6648797372680944,0.9188027171329111,663.8417321673418,33,2,206,2,239,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
gOWc7VBEwMo_0,0.09739949147689775,0.3007518796992481,0.13460396789165238,0.06641479888910902,0.6338582677165354,0.7018677378145795,0.5980595748013187,656.6469957320174,151,85,20,8,254,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
EmvEUer4CVc_0,0.04166884492657702,0.04907975460122699,0.0711675072183169,0.04612086776958844,0.6540178571428572,0.4718858731971075,0.4493268584562256,735.8899106733287,332,114,4,41,448,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
h-pm7wD31Ss_0,0.21731042388466143,0.8831168831168831,0.31540396399701615,0.14549844178804605,0.9666048237476809,0.08741943218179415,0.6763754292561408,844.6510079485997,464,9,68,9,539,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_2,0.7564380664114064,1.0,0.8572159138440654,0.0,1.0,1.0,0.9528335037574761,594.2773818353544,1,0,195,0,194,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
