video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,admm_iterations,background_ratio,cheb_attenuation,filter_lr,gsl_sigma,histogram_bins,histogram_lr,hog_clip,hog_orientations,kaiser_alpha,num_hog_channels_used,number_of_scales,padding,psr_threshold,scale_lr,scale_model_max_area,scale_sigma_factor,scale_step,template_size,use_channel_weights,use_color_names,use_gray,use_hog,use_rgb,use_segmentation,weights_lr,window_function
EwlCKB77dYo_4,0.6114730685505123,1.0,0.7473029961279769,0.4165279963258463,1.0,0.8779750359272515,0.9884992413573722,16.935786953126605,49,0,147,0,194,4,2,45.0,0.02,1.0,16,0.04,0.2,8.0,3.75,18,33,2.0,0.035,0.025,512.0,0.25,1.02,200.0,1,1,1,1,0,1,0.02,hann
EwlCKB77dYo_4,0.525374117715351,1.0,0.676312723377294,0.41558975131337966,1.0,0.8906092353822705,0.9598802654427624,15.314818745206473,115,0,81,0,194,4,2,45.0,0.02,1.0,16,0.04,0.2,8.0,3.75,18,33,4.0,0.035,0.025,512.0,0.25,1.02,200.0,1,1,1,1,0,1,0.02,hann
