"C:\Users\korna\Documents\Учёба\Проектная практика\TrackingOptimization\venv\Scripts\python.exe" "C:/Users/korna/Documents/Учёба/Проектная практика/TrackingOptimization/main.py"
OpenCV v4.1.0

|   iter    |  target   | maxLevel  | maxMed... | points... | termCr... | termCr... |  winSize  | winSiz... |
|  55       |  0.4953   |  5.986    |  10.61    |  8.579    |  0.5757   |  49.09    |  83.97    |  41.64    |
|  56       |  0.4964   |  2.82     |  10.64    |  6.463    |  0.4762   |  45.02    |  80.37    |  39.34    |
|  57       |  0.5056   |  4.908    |  7.544    |  7.53     |  0.3072   |  48.39    |  87.79    |  45.93    |
|  58       |  0.4884   |  4.989    |  5.805    |  6.079    |  0.5371   |  45.46    |  85.08    |  45.1     |
|  59       |  0.4943   |  2.668    |  11.52    |  7.606    |  0.4517   |  47.95    |  79.95    |  38.36    |
|  60       |  0.5063   |  3.156    |  10.42    |  6.105    |  0.2687   |  46.39    |  82.77    |  41.46    |
|  61       |  0.5105   |  4.342    |  12.0     |  5.276    |  0.4956   |  46.21    |  81.77    |  46.08    |
|  62       |  0.5064   |  6.157    |  7.196    |  12.78    |  0.4368   |  49.58    |  83.52    |  39.61    |
|  63       |  0.4946   |  8.298    |  8.914    |  13.54    |  0.5754   |  49.14    |  83.41    |  37.56    |
|  64       |  0.5032   |  2.25     |  12.2     |  5.101    |  0.5893   |  44.32    |  82.79    |  43.47    |
|  65       |  0.484    |  5.534    |  5.484    |  7.96     |  0.1657   |  41.48    |  85.3     |  46.29    |
|  66       |  0.4914   |  2.043    |  8.315    |  11.17    |  0.4899   |  45.49    |  82.17    |  41.04    |
|  67       |  0.4856   |  2.806    |  6.58     |  7.623    |  0.5213   |  44.5     |  79.94    |  42.8     |
|  68       |  0.5053   |  3.499    |  9.001    |  6.553    |  0.286    |  45.74    |  86.19    |  40.4     |
|  69       |  0.5093   |  2.337    |  11.44    |  7.715    |  0.288    |  45.2     |  80.03    |  44.96    |
|  70       |  0.506    |  2.981    |  9.752    |  9.509    |  0.2896   |  46.91    |  79.33    |  42.87    |
|  71       |  0.4955   |  6.134    |  9.369    |  9.899    |  0.1951   |  46.87    |  82.36    |  38.33    |
|  72       |  0.4804   |  3.467    |  8.825    |  6.981    |  0.5005   |  46.15    |  79.99    |  46.96    |
|  73       |  0.5144   |  3.152    |  8.017    |  11.82    |  0.3239   |  49.45    |  87.66    |  47.44    |
|  74       |  0.4998   |  2.88     |  12.87    |  5.61     |  0.3339   |  45.71    |  78.63    |  43.78    |
|  75       |  0.5047   |  4.539    |  9.035    |  5.644    |  0.3427   |  47.16    |  81.73    |  45.24    |
|  76       |  0.5103   |  3.172    |  12.06    |  5.05     |  0.4278   |  47.25    |  80.8     |  47.39    |
|  77       |  0.4589   |  2.544    |  11.75    |  9.013    |  0.5908   |  45.71    |  77.47    |  43.95    |
|  78       |  0.4949   |  2.817    |  8.661    |  5.086    |  0.1595   |  48.83    |  79.73    |  44.67    |
|  79       |  0.4904   |  6.925    |  6.623    |  9.537    |  0.2093   |  49.39    |  84.43    |  43.11    |
|  80       |  0.4987   |  5.501    |  5.267    |  13.59    |  0.3577   |  49.13    |  81.53    |  39.63    |
|  81       |  0.5013   |  3.924    |  12.87    |  8.695    |  0.2395   |  46.34    |  82.95    |  45.73    |
|  82       |  0.5209   |  4.931    |  7.357    |  7.348    |  0.3589   |  46.15    |  84.85    |  42.82    |
|  83       |  0.5086   |  2.639    |  12.67    |  5.443    |  0.4043   |  45.93    |  79.42    |  46.41    |
|  84       |  0.4952   |  4.448    |  12.17    |  9.438    |  0.2824   |  46.0     |  80.99    |  43.54    |
|  85       |  0.5061   |  4.083    |  9.825    |  12.61    |  0.2404   |  46.61    |  86.41    |  44.68    |
|  86       |  0.4981   |  5.936    |  10.55    |  12.19    |  0.1575   |  46.49    |  84.51    |  44.29    |
|  87       |  0.4982   |  3.378    |  7.941    |  8.559    |  0.2779   |  45.87    |  86.06    |  43.7     |
|  88       |  0.4968   |  3.239    |  8.282    |  10.97    |  0.5444   |  48.77    |  85.11    |  49.19    |
|  89       |  0.505    |  3.967    |  10.37    |  6.797    |  0.4104   |  44.09    |  85.48    |  40.91    |
|  90       |  0.4805   |  3.445    |  11.03    |  6.478    |  0.5751   |  42.21    |  86.48    |  41.86    |
|  91       |  0.5023   |  4.629    |  9.433    |  6.989    |  0.2363   |  47.73    |  86.31    |  42.09    |
|  92       |  0.4857   |  4.579    |  9.152    |  15.32    |  0.171    |  48.89    |  83.16    |  39.03    |
|  93       |  0.4948   |  7.338    |  7.372    |  6.541    |  0.1829   |  46.44    |  87.83    |  41.82    |
|  94       |  0.481    |  2.332    |  6.536    |  6.412    |  0.3443   |  45.57    |  82.21    |  46.04    |
|  95       |  0.4956   |  7.206    |  10.02    |  5.171    |  0.2702   |  47.56    |  83.87    |  43.45    |
