video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,422.4166571926144,82,0,319,0,399,5,10.0,10,0.3,20.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6619399051453901,1.0,0.7904635853542409,0.46346445306992906,1.0,0.7047622989223461,0.9103368741636548,419.9119923617316,68,0,333,0,399,5,10.0,10,0.3,10.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6635681779262295,1.0,0.7919927674473207,0.4735542546881882,1.0,0.7278540304568013,0.9209786260188214,438.28387690161867,63,0,338,0,399,5,10.0,10,0.3,5.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6512140195282466,1.0,0.7815516332195918,0.4491023964975138,1.0,0.6782721764045267,0.9046739271224866,462.82895119296,75,0,326,0,399,5,10.0,10,0.3,2.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6372107194975666,1.0,0.7702861901087884,0.4317630339070702,1.0,0.6965880177347293,0.9110775268417339,478.922570167282,76,0,325,0,399,5,10.0,10,0.3,1.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.29464733286984585,0.5986394557823129,0.35222029452821907,0.1912525515538302,0.5563909774436091,0.21894863713576473,0.5122559203221276,518.8172228439549,92,177,132,0,399,5,10.0,10,0.3,0.5,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.29464733286984585,0.5986394557823129,0.35222029452821907,0.1912525515538302,0.5563909774436091,0.21894863713576473,0.5122559203221276,504.85791807220716,92,177,132,0,399,5,10.0,10,0.3,0.25,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.29464733286984585,0.5986394557823129,0.35222029452821907,0.1912525515538302,0.5563909774436091,0.21894863713576473,0.5122559203221276,507.44138844617964,92,177,132,0,399,5,10.0,10,0.3,0.1,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.29464733286984585,0.5986394557823129,0.35222029452821907,0.1912525515538302,0.5563909774436091,0.21894863713576473,0.5122559203221276,556.3298663061967,92,177,132,0,399,5,10.0,10,0.3,0.01,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.29464733286984585,0.5986394557823129,0.35222029452821907,0.1912525515538302,0.5563909774436091,0.21894863713576473,0.5122559203221276,543.5076813798747,92,177,132,0,399,5,10.0,10,0.3,0.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.29464733286984585,0.5986394557823129,0.35222029452821907,0.1912525515538302,0.5563909774436091,0.21894863713576473,0.5122559203221276,532.9711285204783,92,177,132,0,399,5,10.0,10,0.3,-10.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.29464733286984585,0.5986394557823129,0.35222029452821907,0.1912525515538302,0.5563909774436091,0.21894863713576473,0.5122559203221276,548.3651751934185,92,177,132,0,399,5,10.0,10,0.3,-20.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6587545516720261,1.0,0.7879054061482832,0.46189823920925704,1.0,0.7046071206727869,0.9106129329921485,410.0901250629459,71,0,330,0,399,5,10.0,10,0.3,50.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6534890088908359,1.0,0.7834636454939704,0.4523896686954899,1.0,0.7060392017454471,0.9140280628145551,409.5931091517926,74,0,327,0,399,5,10.0,10,0.3,100.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6534890088908359,1.0,0.7834636454939704,0.4523896686954899,1.0,0.7060392017454471,0.9140280628145551,400.30296209325286,74,0,327,0,399,5,10.0,10,0.3,150.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6534890088908359,1.0,0.7834636454939704,0.4523896686954899,1.0,0.7060392017454471,0.9140280628145551,407.74449284593106,74,0,327,0,399,5,10.0,10,0.3,500.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6534890088908359,1.0,0.7834636454939704,0.4523896686954899,1.0,0.7060392017454471,0.9140280628145551,608.2024302033062,74,0,327,0,399,5,10.0,10,0.3,1000.0,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6534890088908359,1.0,0.7834636454939704,0.4523896686954899,1.0,0.7060392017454471,0.9140280628145551,610.656751287028,74,0,327,0,399,5,10.0,10,0.3,10000.0,"[3, 3]","[30, 30]"
