video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,332.3631300224079,82,0,319,0,399,5,10.0,10,0.3,20,"[3, 3]",30
TalhQQ9B7vc_0,0.6629128636416115,1.0,0.7907316361185934,0.4560030017275453,1.0,0.707740935999438,0.920161692541989,334.0143867752309,69,0,332,0,399,5,10.0,10,0.3,20,"[3, 3]",10
TalhQQ9B7vc_0,0.6660848158691965,1.0,0.7928036333981239,0.4522235352866136,1.0,0.7456466704236939,0.9314602902132496,149.0823080986232,73,0,328,0,399,5,10.0,10,0.3,20,"[3, 3]",100
TalhQQ9B7vc_0,0.6289323983638905,1.0,0.7636640289450017,0.44950651615887693,1.0,0.718326440826845,0.9198552685122834,11.7847824794404,95,0,306,0,399,5,10.0,10,0.3,20,"[3, 3]",1000
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,451.60933759628074,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]",1.0
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,None,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]",5.0
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,None,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]",15.0
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,None,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]",20.0
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,None,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]",45.0
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,None,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]",75.0
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,None,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]",35.0
TalhQQ9B7vc_0,0.5664043305960926,0.8163265306122449,0.6717587267130292,0.4466423535609073,0.6842105263157895,0.6914811823660283,0.7696646238780228,334.2273582436903,58,63,280,63,399,5,10.0,10,0.3,20,"[3, 3]",2.0
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,438.75004556628477,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]","[0.5, 0.5]"
TalhQQ9B7vc_0,0.6245076796244868,1.0,0.7592346245055565,0.431248032619805,1.0,0.713522301722607,0.9179570767191982,20.303070480267323,101,0,300,0,399,5,10.0,10,0.3,20,"[3, 3]",500.0
TalhQQ9B7vc_0,0.6104542529893372,1.0,0.7451084464093014,0.4007796184651791,1.0,0.733645262839402,0.9250693195952018,50.77529537555097,124,0,277,0,399,5,10.0,10,0.3,20,"[3, 3]",250.0
TalhQQ9B7vc_0,0.6276130986715445,1.0,0.7617806622409771,0.42989337425846724,1.0,0.6775993116127823,0.9035011092438403,24.42605800456824,96,0,305,0,399,5,10.0,10,0.3,20,"[3, 3]",400.0
TalhQQ9B7vc_0,0.6200578196589716,1.0,0.7540013444667047,0.4119492638102166,1.0,0.7074028054402967,0.9173690317585129,38.410623479049434,113,0,288,0,399,5,10.0,10,0.3,20,"[3, 3]",300
TalhQQ9B7vc_0,0.6201028471714111,1.0,0.7547878111872278,0.4207598002653016,1.0,0.7314412840928148,0.9237162732598199,17.32396076124495,109,0,292,0,399,5,10.0,10,0.3,20,"[3, 3]",600
TalhQQ9B7vc_0,0.6449501797162597,1.0,0.7773002234886783,0.4597140617284687,1.0,0.7175205256700934,0.9216018968096341,16.23207082582131,67,0,334,0,399,5,10.0,10,0.3,20,"[3, 3]",700
TalhQQ9B7vc_0,0.6392386827786678,1.0,0.7700471779909652,0.41778527725343206,1.0,0.7272671525967142,0.9281487506757113,91.93480971495623,94,0,307,0,399,5,10.0,10,0.3,20,"[3, 3]",150
TalhQQ9B7vc_0,0.6692278505370776,1.0,0.7958444928072242,0.4639285191733426,1.0,0.6944246362165534,0.9128539429947935,196.14454738964923,67,0,334,0,399,5,10.0,10,0.3,20,"[3, 3]",50
