video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,398.7775671636459,82,0,319,0,399,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6494770815915389,1.0,0.7800826583526101,0.44454534824925174,1.0,0.6882580807318467,0.9048131217934788,338.4134752203559,75,0,326,0,399,5,10.0,10,0.1,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6478561155528785,1.0,0.7786890957955535,0.440766674691378,1.0,0.6728217647763446,0.9012748677633917,297.25633318480067,75,0,326,0,399,5,10.0,10,0.01,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6501043941260098,1.0,0.7804564887302579,0.4411519306969554,1.0,0.6988647640020933,0.9153275139535016,301.9878652358013,75,0,326,0,399,5,10.0,10,0.001,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6527707069224281,1.0,0.7835514528844405,0.4627223606243615,1.0,0.7098878490410654,0.912214134989674,310.9135494286682,69,0,332,0,399,5,10.0,10,0.0001,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6690125689648532,1.0,0.7966051772207184,0.46570187095556237,1.0,0.7330993537673727,0.9209764525655454,377.62472459026554,30,0,371,0,399,5,10.0,10,0.5,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6528370739108437,1.0,0.7838404200385325,0.4663354249900084,1.0,0.7230446143521512,0.9162989690371488,413.36415069229116,62,0,339,0,399,5,10.0,10,1.0,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6408191685140956,1.0,0.7731707278098923,0.4349186514502336,1.0,0.6921691987449168,0.9124213000674635,442.1181384926412,76,0,325,0,399,5,10.0,10,2.0,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6424688998763735,1.0,0.7750344328880131,0.4451330658001368,1.0,0.6993627583883526,0.9114999599402411,426.9180519908188,74,0,327,0,399,5,10.0,10,3.0,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.640894301432211,1.0,0.7735405698565139,0.4433949422528697,1.0,0.7093693826895364,0.9138408037590519,406.00153561103093,80,0,321,0,399,5,10.0,10,5.0,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6358792719484803,1.0,0.7692438513786277,0.43939290908402767,1.0,0.7208754799953775,0.9159629767989237,422.8872802099246,83,0,318,0,399,5,10.0,10,10.0,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6358792719484803,1.0,0.7692438513786277,0.43939290908402767,1.0,0.7208754799953775,0.9159629767989237,396.7525673912824,83,0,318,0,399,5,10.0,10,100.0,20,"[3, 3]","[30, 30]"
