video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,435.1051711622586,82,0,319,0,399,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,366.0098845859102,82,0,319,0,399,5,5.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,372.0967293308441,82,0,319,0,399,5,2.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,436.55120268034096,82,0,319,0,399,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.3118179579740299,0.41213653603034134,0.3528916557857296,0.0,-0.16541353383458657,1.0,0.3940481578166224,471.4028503510463,1,237,163,228,399,5,0.5,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.013819550297921437,0.01288659793814433,0.015301236898092742,0.04926972791142998,-0.9197994987468672,0.3811473391660217,0.038466855485760836,415.20237781723364,13,383,5,383,399,5,0.25,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.008004192684034123,0.007537688442211055,0.008491918955576957,0.07959502849055004,-0.9799498746867168,0.8112268050499719,0.012236105728791007,407.8038132039887,3,395,3,395,399,5,0.1,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.0028924916797213518,0.002512562814070352,0.003224264040355442,0.05233222396284689,-0.9899749373433584,0.06708230273482096,0.007048476167566884,476.8452960118186,3,397,1,397,399,5,0.01,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,402.7093186004414,82,0,319,0,399,5,20.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,385.95895061499397,82,0,319,0,399,5,50.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,395.5433476479029,82,0,319,0,399,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,390.3300152698687,82,0,319,0,399,5,150.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,447.93828375674565,82,0,319,0,399,5,500.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,452.05864069585505,82,0,319,0,399,5,1000.0,10,0.3,20,"[3, 3]","[30, 30]"
